file_name,clean,noise,snr
00001.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,10.42641286533492
00002.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,-4.58496101281197
00003.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,7.672964698525508
00004.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,9.976077650772236
00005.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,4.970140246051809
00006.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,-0.5040670893830468
00007.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,-1.0387427048075204
00008.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,10.210614243979174
00009.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,-1.617783268749291
00010.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,-3.2332037165197947
00011.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,8.707196367355944
00012.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,14.06786692389873
00013.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-4.921034673441711
00014.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,5.243845267715532
00015.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,11.25241923304227
00016.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,7.250521336587763
00017.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,9.43510634863599
00018.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,0.8375213634126633
00019.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,13.355482450258869
00020.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,9.291515667953812
00021.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,5.850887360225226
